Token,Count,minmax_norm,Index
american,39,1.0,0
know,25,0.631578947368421,1
year,23,0.5789473684210527,2
time,23,0.5789473684210527,3
people,21,0.5263157894736842,4
plan,21,0.5263157894736842,5
new,21,0.5263157894736842,6
economy,21,0.5263157894736842,7
every,20,0.5,8
health,20,0.5,9
job,18,0.4473684210526316,10
care,18,0.4473684210526316,11
make,17,0.42105263157894735,12
america,17,0.42105263157894735,13
also,16,0.39473684210526316,14
cost,15,0.3684210526315789,15
must,15,0.3684210526315789,16
day,15,0.3684210526315789,17
country,14,0.34210526315789475,18
child,14,0.34210526315789475,19
energy,14,0.34210526315789475,20
nation,13,0.3157894736842105,21
education,13,0.3157894736842105,22
bank,13,0.3157894736842105,23
budget,13,0.3157894736842105,24
one,12,0.2894736842105263,25
school,12,0.2894736842105263,26
reform,12,0.2894736842105263,27
family,12,0.2894736842105263,28
business,12,0.2894736842105263,29
recovery,11,0.2631578947368421,30
tonight,11,0.2631578947368421,31
tax,11,0.2631578947368421,32
crisis,11,0.2631578947368421,33
college,10,0.23684210526315788,34
even,10,0.23684210526315788,35
million,10,0.23684210526315788,36
congress,10,0.23684210526315788,37
money,10,0.23684210526315788,38
responsibility,10,0.23684210526315788,39
need,10,0.23684210526315788,40
next,10,0.23684210526315788,41
world,10,0.23684210526315788,42
take,10,0.23684210526315788,43
put,9,0.21052631578947367,44
way,9,0.21052631578947367,45
work,9,0.21052631578947367,46
home,9,0.21052631578947367,47
future,9,0.21052631578947367,48
end,9,0.21052631578947367,49
deficit,9,0.21052631578947367,50
meet,8,0.18421052631578946,51
afford,8,0.18421052631578946,52
come,8,0.18421052631578946,53
help,8,0.18421052631578946,54
see,8,0.18421052631578946,55
lending,8,0.18421052631578946,56
begin,8,0.18421052631578946,57
back,8,0.18421052631578946,58
economic,8,0.18421052631578946,59
first,7,0.15789473684210525,60
problem,7,0.15789473684210525,61
get,7,0.15789473684210525,62
challenge,7,0.15789473684210525,63
system,7,0.15789473684210525,64
high,7,0.15789473684210525,65
program,7,0.15789473684210525,66
cut,7,0.15789473684210525,67
right,7,0.15789473684210525,68
confidence,7,0.15789473684210525,69
say,7,0.15789473684210525,70
government,7,0.15789473684210525,71
loan,7,0.15789473684210525,72
history,7,0.15789473684210525,73
ensure,7,0.15789473684210525,74
credit,6,0.13157894736842105,75
recession,6,0.13157894736842105,76
state,6,0.13157894736842105,77
century,6,0.13157894736842105,78
clean,6,0.13157894736842105,79
helping,6,0.13157894736842105,80
bring,6,0.13157894736842105,81
fact,6,0.13157894736842105,82
invest,6,0.13157894736842105,83
power,6,0.13157894736842105,84
dollar,6,0.13157894736842105,85
debt,6,0.13157894736842105,86
goal,6,0.13157894736842105,87
force,6,0.13157894736842105,88
doe,6,0.13157894736842105,89
made,6,0.13157894736842105,90
save,6,0.13157894736842105,91
president,6,0.13157894736842105,92
another,6,0.13157894736842105,93
financial,6,0.13157894736842105,94
issue,6,0.13157894736842105,95
buy,6,0.13157894736842105,96
largest,6,0.13157894736842105,97
market,6,0.13157894736842105,98
would,5,0.10526315789473684,99
provide,5,0.10526315789473684,100
called,5,0.10526315789473684,101
lead,5,0.10526315789473684,102
many,5,0.10526315789473684,103
necessary,5,0.10526315789473684,104
bad,5,0.10526315789473684,105
tell,5,0.10526315789473684,106
spend,5,0.10526315789473684,107
could,5,0.10526315789473684,108
opportunity,5,0.10526315789473684,109
keep,5,0.10526315789473684,110
global,5,0.10526315789473684,111
ever,5,0.10526315789473684,112
last,5,0.10526315789473684,113
promise,5,0.10526315789473684,114
place,5,0.10526315789473684,115
