Token,Count,minmax_norm,Index
american,46,1.0,0
america,25,0.5333333333333333,1
country,24,0.5111111111111111,2
nation,21,0.4444444444444444,3
must,20,0.4222222222222222,4
one,19,0.4,5
new,18,0.37777777777777777,6
state,16,0.3333333333333333,7
world,16,0.3333333333333333,8
great,15,0.3111111111111111,9
year,15,0.3111111111111111,10
united,14,0.28888888888888886,11
people,14,0.28888888888888886,12
job,12,0.24444444444444444,13
child,12,0.24444444444444444,14
time,12,0.24444444444444444,15
many,12,0.24444444444444444,16
tonight,11,0.2222222222222222,17
citizen,11,0.2222222222222222,18
want,10,0.2,19
work,10,0.2,20
right,10,0.2,21
across,10,0.2,22
company,9,0.17777777777777778,23
every,9,0.17777777777777778,24
health,9,0.17777777777777778,25
million,9,0.17777777777777778,26
also,8,0.15555555555555556,27
national,8,0.15555555555555556,28
congress,8,0.15555555555555556,29
system,8,0.15555555555555556,30
much,8,0.15555555555555556,31
woman,8,0.15555555555555556,32
law,8,0.15555555555555556,33
friend,8,0.15555555555555556,34
thank,8,0.15555555555555556,35
immigration,8,0.15555555555555556,36
future,7,0.13333333333333333,37
justice,7,0.13333333333333333,38
create,7,0.13333333333333333,39
keep,7,0.13333333333333333,40
believe,7,0.13333333333333333,41
since,7,0.13333333333333333,42
billion,7,0.13333333333333333,43
good,7,0.13333333333333333,44
family,7,0.13333333333333333,45
drug,7,0.13333333333333333,46
first,7,0.13333333333333333,47
dollar,7,0.13333333333333333,48
home,7,0.13333333333333333,49
member,7,0.13333333333333333,50
tax,7,0.13333333333333333,51
long,7,0.13333333333333333,52
help,7,0.13333333333333333,53
trillion,6,0.1111111111111111,54
rate,6,0.1111111111111111,55
support,6,0.1111111111111111,56
ally,6,0.1111111111111111,57
never,6,0.1111111111111111,58
asking,6,0.1111111111111111,59
even,6,0.1111111111111111,60
government,6,0.1111111111111111,61
trade,6,0.1111111111111111,62
need,6,0.1111111111111111,63
ryan,6,0.1111111111111111,64
war,6,0.1111111111111111,65
made,6,0.1111111111111111,66
community,6,0.1111111111111111,67
foreign,6,0.1111111111111111,68
make,6,0.1111111111111111,69
past,6,0.1111111111111111,70
last,6,0.1111111111111111,71
get,6,0.1111111111111111,72
department,6,0.1111111111111111,73
cost,6,0.1111111111111111,74
know,6,0.1111111111111111,75
school,6,0.1111111111111111,76
life,6,0.1111111111111111,77
infrastructure,5,0.08888888888888889,78
find,5,0.08888888888888889,79
love,5,0.08888888888888889,80
fair,5,0.08888888888888889,81
border,5,0.08888888888888889,82
worker,5,0.08888888888888889,83
administration,5,0.08888888888888889,84
megan,5,0.08888888888888889,85
like,5,0.08888888888888889,86
high,5,0.08888888888888889,87
middle,5,0.08888888888888889,88
safe,5,0.08888888888888889,89
protect,5,0.08888888888888889,90
going,5,0.08888888888888889,91
republican,5,0.08888888888888889,92
men,5,0.08888888888888889,93
access,5,0.08888888888888889,94
history,5,0.08888888888888889,95
respect,5,0.08888888888888889,96
military,5,0.08888888888888889,97
security,5,0.08888888888888889,98
insurance,5,0.08888888888888889,99
better,5,0.08888888888888889,100
choice,5,0.08888888888888889,101
dream,5,0.08888888888888889,102
policy,4,0.06666666666666667,103
two,4,0.06666666666666667,104
city,4,0.06666666666666667,105
come,4,0.06666666666666667,106
big,4,0.06666666666666667,107
able,4,0.06666666666666667,108
stop,4,0.06666666666666667,109
oliver,4,0.06666666666666667,110
wage,4,0.06666666666666667,111
father,4,0.06666666666666667,112
business,4,0.06666666666666667,113
susan,4,0.06666666666666667,114
care,4,0.06666666666666667,115
plan,4,0.06666666666666667,116
obamacare,4,0.06666666666666667,117
increase,4,0.06666666666666667,118
throughout,4,0.06666666666666667,119
jenna,4,0.06666666666666667,120
take,4,0.06666666666666667,121
incredible,4,0.06666666666666667,122
save,4,0.06666666666666667,123
together,4,0.06666666666666667,124
regulation,4,0.06666666666666667,125
greater,4,0.06666666666666667,126
jamiel,4,0.06666666666666667,127
terrorism,4,0.06666666666666667,128
free,4,0.06666666666666667,129
become,4,0.06666666666666667,130
look,4,0.06666666666666667,131
way,4,0.06666666666666667,132
president,4,0.06666666666666667,133
laughter,4,0.06666666666666667,134
provide,4,0.06666666666666667,135
force,4,0.06666666666666667,136
leave,4,0.06666666666666667,137
hope,4,0.06666666666666667,138
bring,4,0.06666666666666667,139
today,4,0.06666666666666667,140
reform,4,0.06666666666666667,141
allow,4,0.06666666666666667,142
finally,4,0.06666666666666667,143
said,4,0.06666666666666667,144
college,3,0.044444444444444446,145
defend,3,0.044444444444444446,146
ten,3,0.044444444444444446,147
grow,3,0.044444444444444446,148
cycle,3,0.044444444444444446,149
taxpayer,3,0.044444444444444446,150
brave,3,0.044444444444444446,151
truly,3,0.044444444444444446,152
gallery,3,0.044444444444444446,153
put,3,0.044444444444444446,154
serve,3,0.044444444444444446,155
interest,3,0.044444444444444446,156
voice,3,0.044444444444444446,157
enemy,3,0.044444444444444446,158
back,3,0.044444444444444446,159
share,3,0.044444444444444446,160
break,3,0.044444444444444446,161
would,3,0.044444444444444446,162
record,3,0.044444444444444446,163
thousand,3,0.044444444444444446,164
saved,3,0.044444444444444446,165
working,3,0.044444444444444446,166
loved,3,0.044444444444444446,167
resource,3,0.044444444444444446,168
veteran,3,0.044444444444444446,169
month,3,0.044444444444444446,170
calling,3,0.044444444444444446,171
crime,3,0.044444444444444446,172
give,3,0.044444444444444446,173
promise,3,0.044444444444444446,174
done,3,0.044444444444444446,175
rule,3,0.044444444444444446,176
current,3,0.044444444444444446,177
applause,3,0.044444444444444446,178
old,3,0.044444444444444446,179
principle,3,0.044444444444444446,180
freedom,3,0.044444444444444446,181
financial,3,0.044444444444444446,182
lower,3,0.044444444444444446,183
fight,3,0.044444444444444446,184
immigrant,3,0.044444444444444446,185
guided,3,0.044444444444444446,186
